Lipid Panel				
COMPONENT_ID	NAME	EXTERNAL_NAME	COMMON_NAME	BASE_NAME
8200002207	"HB A1C+GLYCOMARK(R)(1,5 AG)"	"Hb A1C+Glycomark(R)(1,5 Ag)"	"HB A1C+ GLYCOMARK(R)(1, 5 AG)"	HGBA1C
8200003591	GLYCOSYLATED HEMOGLOBIN	Glycosylated Hemoglobin	HEMOGLOBIN A1C	HGBA1C
8200003592	HEMOGLOBIN A1C	Hemoglobin A1C	HEMOGLOBIN A1C	HGBA1C
8200006159	HEMOGLOBIN A1C	Hemoglobin A1C	HEMOGLOBIN A1C	HGBA1C
9000000214	HGBA1C	Hgba1C	HEMOGLOBIN A1C	HGBA1C
9000000654	HGBA1C%POC	Hgba1C%POC	HEMOGLOBIN A1C	HGBA1CPOC
9100000424	HEMOGLOBIN A1C	Hemoglobin A1C	HEMOGLOBIN A1C	HGBA1C
9100006036	HEMOGLOBIN A1C (POC-MANUAL ENTRY)	Hemoglobin A1c (POC-Manual Entry)	HEMOGLOBIN A1C (POC-MANUAL ENTRY)	HEMOA1CPOCM
9300000666	HEMOGLOBIN A1C	Hemoglobin  A1C	HEMOGLOBIN A1C	HGBA1C
9500000029	POC HBG A1C	POC Hbg A1C	HEMOGLOBIN A1C	POCHBGA1C
9700000016	"HEMOGLOBIN  A1C, EXTERNAL"	Hemoglobin A1C	HEMOGLOBIN A1C	HGBA1C
9700000045	HEMOGLOBIN  A1C	Hemoglobin  A1C	HEMOGLOBIN A1C	HGBA1C
21000130563	HEMOGLOBIN A1C	Hemoglobin A1c	HEMOGLOBIN A1C	HGBA1C
